iter	Passed	Remaining
772	8128	2387
773	8137	2376
774	8149	2365
775	8158	2355
776	8169	2344
777	8178	2333
778	8188	2323
779	8198	2312
780	8206	2301
781	8216	2290
782	8225	2279
783	8233	2268
784	8243	2257
785	8252	2246
786	8261	2235
787	8272	2225
788	8280	2214
789	8291	2203
790	8300	2193
791	8308	2181
792	8317	2171
793	8326	2160
794	8335	2149
795	8345	2138
796	8354	2127
797	8363	2117
798	8373	2106
799	8381	2095
800	8392	2084
801	8401	2074
802	8410	2063
803	8420	2052
804	8429	2041
805	8440	2031
806	8450	2021
807	8461	2010
808	8469	1999
809	8478	1988
810	8488	1978
811	8497	1967
812	8505	1956
813	8515	1945
814	8524	1935
815	8533	1924
816	8543	1913
817	8551	1902
818	8562	1892
819	8571	1881
820	8580	1870
821	8589	1859
822	8598	1849
823	8608	1838
824	8619	1828
825	8628	1817
826	8639	1807
827	8651	1797
828	8660	1786
829	8668	1775
830	8677	1764
831	8688	1754
832	8698	1743
833	8708	1733
834	8718	1722
835	8728	1712
836	8737	1701
837	8747	1691
838	8756	1680
839	8765	1669
840	8775	1659
841	8784	1648
842	8793	1637
843	8802	1626
844	8810	1616
845	8819	1605
846	8828	1594
847	8837	1584
848	8846	1573
849	8855	1562
850	8865	1552
851	8877	1542
852	8886	1531
853	8897	1521
854	8906	1510
855	8914	1499
856	8924	1489
857	8934	1478
858	8945	1468
859	8953	1457
860	8963	1447
861	8972	1436
862	8982	1425
863	8992	1415
864	9002	1405
865	9014	1394
866	9023	1384
867	9034	1373
868	9044	1363
869	9055	1353
870	9066	1342
871	9075	1332
872	9084	1321
873	9094	1311
874	9103	1300
875	9113	1290
876	9123	1279
877	9131	1268
878	9142	1258
879	9151	1247
880	9162	1237
881	9171	1227
882	9180	1216
883	9191	1206
884	9201	1195
885	9211	1185
886	9220	1174
887	9231	1164
888	9241	1153
889	9251	1143
890	9261	1132
891	9272	1122
892	9281	1112
893	9291	1101
894	9299	1091
895	9308	1080
896	9317	1069
897	9326	1059
898	9335	1048
899	9345	1038
900	9355	1027
901	9364	1017
902	9374	1006
903	9383	996
904	9391	985
905	9400	975
906	9410	964
907	9418	954
908	9428	943
909	9436	933
910	9445	922
911	9455	912
912	9464	901
913	9472	891
914	9482	880
915	9492	870
916	9501	860
917	9511	849
918	9520	839
919	9531	828
920	9540	818
921	9549	807
922	9558	797
923	9566	786
924	9577	776
925	9585	766
926	9594	755
927	9605	745
928	9614	734
929	9623	724
930	9633	713
931	9641	703
932	9651	693
933	9661	682
934	9668	672
935	9679	661
936	9688	651
937	9697	640
938	9707	630
939	9717	620
940	9727	609
941	9736	599
942	9745	589
943	9755	578
944	9764	568
945	9774	557
946	9783	547
947	9792	537
948	9802	526
949	9812	516
950	9821	506
951	9830	495
952	9839	485
953	9847	474
954	9857	464
955	9867	454
956	9877	443
957	9886	433
958	9895	423
959	9904	412
960	9912	402
961	9922	391
962	9931	381
963	9940	371
964	9950	360
965	9959	350
966	9968	340
967	9976	329
968	9986	319
969	9996	309
970	10006	298
971	10016	288
972	10026	278
973	10034	267
974	10045	257
975	10055	247
976	10064	236
977	10074	226
978	10084	216
979	10094	206
980	10103	195
981	10113	185
982	10124	175
983	10134	164
984	10144	154
985	10155	144
986	10165	133
987	10174	123
988	10184	113
989	10192	102
990	10201	92
991	10211	82
992	10219	72
993	10229	61
994	10238	51
995	10247	41
996	10257	30
997	10266	20
998	10276	10
999	10286	0
